idx,name,center_x_mm,center_y_mm,center_z_mm,size_x_mm,size_y_mm,size_z_mm,volume_mm3
0,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:3/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/WJ-WK00-0413-MIDDLECASE_80:1/WJ-WK00-0413-MIDDLECASE_80,-13.2,7.5,-0.0,15.0,34.0,20.0,1568.31
1,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:3/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/WJ-WK00-0412-TOPCABINET_74:1/WJ-WK00-0412-TOPCABINET_74,-4.225,7.5,0.0,4.05,34.0,20.0,2071.664
2,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:3/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/WJ-WK00-414-BOTTOMCASE_48:1/WJ-WK00-414-BOTTOMCASE_48,-23.925,7.5,0.0,7.551,34.0,20.0,1142.073
3,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:3/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/PHS_1_7X20_5_DC10_3_3:1/PHS_1_7X20_5_DC10_3_3,-13.071,-4.5,8.4,21.259,2.8,2.8,37.814
4,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:3/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/PHS_1_7X20_5_DC10_3_3:2/PHS_1_7X20_5_DC10_3_3,-13.071,-4.5,-8.4,21.259,2.8,2.8,37.814
5,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:3/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/PHS_1_7X20_5_DC10_3_3:3/PHS_1_7X20_5_DC10_3_3,-13.071,22.9,4.9,21.259,2.8,2.8,37.814
6,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:3/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/PHS_1_7X20_5_DC10_3_3:4/PHS_1_7X20_5_DC10_3_3,-13.071,19.4,-8.4,21.259,2.8,2.8,37.814
7,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:3/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/OUTGEAR_ASM_11_ASM:1/OUTGEAR_ASM_11_ASM/OUTPUTGEAR_40:1/OUTPUTGEAR_40,-5.95,-0.002,0.004,11.9,16.276,16.272,540.405
8,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:3/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:1/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_102855:1/MANIFOLD_SOLID_BREP_102855,-19.75,8.979,-6.075,3.3,5.75,4.7,50.188
9,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:3/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:1/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_102995:1/MANIFOLD_SOLID_BREP_102995,-22.05,8.979,-4.225,3.3,0.5,0.5,0.644
